baslik,pdfId,pdfLink,videoId,playlistId,time,videoLink
2024 TYT Deneme Sınavı,YKSye-DOGRU-2024-TYT.pdf,https://ods.eba.gov.tr/yks-deneme/pdf/YKSye-DOGRU-2024-TYT.pdf,playlist,PLUYa52_9xFS-iMSA-Q2F3e8TkvAcEKTvW,,https://www.youtube.com/playlist?list=PLUYa52_9xFS-iMSA-Q2F3e8TkvAcEKTvW
2024 AYT Deneme Sınavı,YKSye-DOGRU-2024-AYT.pdf,https://ods.eba.gov.tr/yks-deneme/pdf/YKSye-DOGRU-2024-AYT.pdf,playlist,PLUYa52_9xFS-4cQL04p2QV1dgi6hVfsoB,,https://www.youtube.com/playlist?list=PLUYa52_9xFS-4cQL04p2QV1dgi6hVfsoB
2024 YDT Deneme Sınavı,YKSye-DOGRU-2024-YDT.pdf,https://ods.eba.gov.tr/yks-deneme/pdf/YKSye-DOGRU-2024-YDT.pdf,playlist,PLUYa52_9xFS-7XriOxSWha_Og5CXgkeo3,,https://www.youtube.com/playlist?list=PLUYa52_9xFS-7XriOxSWha_Og5CXgkeo3
2022 TYT Genel Deneme,2022-Genel-Deneme(TYT).zip,https://ogmmateryal.eba.gov.tr/panel/upload/sinav/2022-Genel-Deneme(TYT).zip,playlist,PLUYa52_9xFS_As9liFwqey8FiCeouhIlm,,https://www.youtube.com/playlist?list=PLUYa52_9xFS_As9liFwqey8FiCeouhIlm
2022 AYT Genel Deneme,2022-Genel-Deneme(AYT).zip,https://ogmmateryal.eba.gov.tr/panel/upload/sinav/2022-Genel-Deneme(AYT).zip,playlist,PLUYa52_9xFS8V3mJ3mAT5xAxna_PZ8-y7,,https://youtube.com/playlist?list=PLUYa52_9xFS8V3mJ3mAT5xAxna_PZ8-y7
2022 YDT Genel Deneme,2022-Genel-Deneme(YDT).pdf,https://ogmmateryal.eba.gov.tr/panel/upload/sinav/2022-Genel-Deneme(YDT).pdf,Ey_UlMJXlFQ,,,https://www.youtube.com/watch?v=Ey_UlMJXlFQ
2021 Mini Deneme 1,2021-Mini-Deneme(TYT)-1.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/sinav/2021-Mini-Deneme(TYT)-1.pdf,XSLwIqTjTDY,,,https://www.youtube.com/watch?v=XSLwIqTjTDY
2021 Mini Deneme 2,2021-Mini-Deneme(AYT)-2.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/sinav/2021-Mini-Deneme(AYT)-2.pdf,jMHdcr2MmV8,,,https://www.youtube.com/watch?v=jMHdcr2MmV8
2021 Mini Deneme 3,2021-Mini-Deneme(TYT)-3.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/sinav/2021-Mini-Deneme(TYT)-3.pdf,ItmfXqKE7mM,,,https://www.youtube.com/watch?v=ItmfXqKE7mM
2021 Mini Deneme 4,2021-Mini-Deneme(AYT)-4.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/sinav/2021-Mini-Deneme(AYT)-4.pdf,xaLADqKgeug,,,https://youtu.be/xaLADqKgeug
