sinifPath,sinifIsmi,dersPath,dersIsmi,flipbookKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
6,9. Sınıf (2017-2023),,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/biyoloji/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/biyoloji/biyoloji.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/biyoloji/biyoloji.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/biyoloji/files/thumb/2.jpg
6,9. Sınıf (2017-2023),,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/cografya/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/cografya/cografya.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/cografya/cografya.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/cografya/files/thumb/2.jpg
6,9. Sınıf (2017-2023),,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/fizik/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/fizik/fizik.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/fizik/fizik.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/fizik/files/thumb/2.jpg
6,9. Sınıf (2017-2023),,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/kimya/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/kimya/kimya.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/kimya/kimya.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/kimya/files/thumb/2.jpg
6,9. Sınıf (2017-2023),,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/matematik/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/matematik/matematik.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/matematik/matematik.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/matematik/files/thumb/2.jpg
6,9. Sınıf (2017-2023),,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tarih/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tarih/tarih.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tarih/tarih.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tarih/files/thumb/2.jpg
6,9. Sınıf (2017-2023),,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tde/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tde/tde.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tde/tde.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tde/files/thumb/1.jpg
6,9. Sınıf (2017-2023),,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tde/9-tde-defterim.exe,,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tde/1-Z.jpg
6,9. Sınıf (2017-2023),,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tde/9-tde-defterim.deb,,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/9/tde/2-Z.jpg
7,10. Sınıf,,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/10/biyoloji/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/10/biyoloji/biyoloji.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/10/biyoloji/biyoloji.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/defterim/10/biyoloji/files/thumb/1.jpg
