sinifId,sinifIsmi,dersId,dersNo,dersKodu,dersIsmi,uniteId,uniteNo,uniteIsmi,kazanimId,kazanimNo,kazanimKod,kazanimIsmi,pdfId,pdfBaslik,pdfLink
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3471,1,10.1.1.1.,10.1.1.1.- Canlılarda hücre bölünmesinin gerekliliğini açıklar.,a3gl5ctuece.pdf,HÜCRE BÖLÜNMESİNİN GEREKLİLİĞİ,https://ogmmateryal.eba.gov.tr/panel/upload/files/a3gl5ctuece.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,nhkgokhbbzj.pdf,MİTOZ,https://ogmmateryal.eba.gov.tr/panel/upload/files/nhkgokhbbzj.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,fqxywudk4bw.pdf,MİTOTİK EVRE,https://ogmmateryal.eba.gov.tr/panel/upload/files/fqxywudk4bw.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,u3dicos5n4j.pdf,HÜCRE DÖNGÜSÜNÜN KONTROLÜ,https://ogmmateryal.eba.gov.tr/panel/upload/files/u3dicos5n4j.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,f2nwopmlupu.pdf,EŞEYSİZ ÜREME-1,https://ogmmateryal.eba.gov.tr/panel/upload/files/f2nwopmlupu.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,ifwcgghji5x.pdf,EŞEYSİZ ÜREME-2,https://ogmmateryal.eba.gov.tr/panel/upload/files/ifwcgghji5x.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3474,4,10.1.2.1.,10.1.2.1.- Mayozu açıklar.,lbbs2f0od3p.pdf,MAYOZ-1,https://ogmmateryal.eba.gov.tr/panel/upload/files/lbbs2f0od3p.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3474,4,10.1.2.1.,10.1.2.1.- Mayozu açıklar.,npu014t4q4f.pdf,MAYOZ-2,https://ogmmateryal.eba.gov.tr/panel/upload/files/npu014t4q4f.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3475,5,10.1.2.2.,10.1.2.2.- Eşeyli üremeyi örneklerle açıklar.,44it5tcevt1.pdf,EŞEYLİ ÜREME,https://ogmmateryal.eba.gov.tr/panel/upload/files/44it5tcevt1.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,r53z0qddvtc.pdf,KALITIMIN GENEL ESASLARI-I (MENDEL İLKELERİ),https://ogmmateryal.eba.gov.tr/panel/upload/files/r53z0qddvtc.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,1bmrau0ji5c.pdf,KALITIMIN GENEL ESASLARI-II,https://ogmmateryal.eba.gov.tr/panel/upload/files/1bmrau0ji5c.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,2bq3pnmusyz.pdf,MONOHİBRİT-DİHİBRİT ÇAPRAZLAMA,https://ogmmateryal.eba.gov.tr/panel/upload/files/2bq3pnmusyz.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,5rln22j0g21.pdf,MONOHİBRİT-DİHİBRİT ÇAPRAZLAMA II,https://ogmmateryal.eba.gov.tr/panel/upload/files/5rln22j0g21.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,0iesfaylc1i.pdf,KONTROL ÇAPRAZLAMASI-EŞ BASKINLIK-ÇOK ALELLİK,https://ogmmateryal.eba.gov.tr/panel/upload/files/0iesfaylc1i.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,atahpydwtwq.pdf,KAN GRUPLARI,https://ogmmateryal.eba.gov.tr/panel/upload/files/atahpydwtwq.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,htybs1rmysh.pdf,EŞEYE BAĞLI KALITIM-I,https://ogmmateryal.eba.gov.tr/panel/upload/files/htybs1rmysh.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,lqlpheur0g1.pdf,EŞEYE BAĞLI KALITIM-II,https://ogmmateryal.eba.gov.tr/panel/upload/files/lqlpheur0g1.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,hcpg40ghy4e.pdf,SOYAĞAÇLARI-I,https://ogmmateryal.eba.gov.tr/panel/upload/files/hcpg40ghy4e.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,4f0ys1uhzmn.pdf,SOYAĞAÇLARI-II,https://ogmmateryal.eba.gov.tr/panel/upload/files/4f0ys1uhzmn.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,3g2if5ki0kt.pdf,SOYAĞAÇLARI-III,https://ogmmateryal.eba.gov.tr/panel/upload/files/3g2if5ki0kt.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3477,2,10.2.1.2.,10.2.1.2.- Genetik varyasyonların biyolojik çeşitliliği açıklamadaki rolünü sorgular.,vbihlno5gjm.pdf,AKRABA EVLİLİKLERİNİN KALITSAL HASTALIKLARLA İLİŞKİSİ,https://ogmmateryal.eba.gov.tr/panel/upload/files/vbihlno5gjm.pdf
