sinifId,sinifIsmi,dersId,dersNo,dersKod,dersIsmi,uniteId,uniteNo,uniteIsmi,kazanimId,kazanimNo,kazanimKod,kazanimIsmi,videoId,videoBaslik,videoLink
6,9. Sınıf,5,1,BIY,Biyoloji,24,1,Yaşam Bilimi Biyoloji,3460,1,9.1.1.1.,9.1.1.1.- Canlıların ortak özelliklerini irdeler.,xxcj1hean4e.mp4,BİYOLOJİ VE CANLILARIN ORTAK ÖZELLİKLERİ-1,https://ogmmateryal.eba.gov.tr/ebatv-ogm/upload/uzev-480/xxcj1hean4e.mp4_1.mp4
6,9. Sınıf,5,1,BIY,Biyoloji,24,1,Yaşam Bilimi Biyoloji,3460,1,9.1.1.1.,9.1.1.1.- Canlıların ortak özelliklerini irdeler.,0u1b4ofua2c.mp4,BİYOLOJİ VE CANLILARIN ORTAK ÖZELLİKLERİ-2,https://ogmmateryal.eba.gov.tr/ebatv-ogm/upload/uzev-480/0u1b4ofua2c.mp4_1.mp4
6,9. Sınıf,5,1,BIY,Biyoloji,24,1,Yaşam Bilimi Biyoloji,3460,1,9.1.1.1.,9.1.1.1.- Canlıların ortak özelliklerini irdeler.,sjrgzbjwcgc.mp4,CANLILARIN YAPISINDA BULUNAN TEMEL BİLEŞİKLER-İNORGANİK BİLEŞİKLER,https://ogmmateryal.eba.gov.tr/ebatv-ogm/upload/uzev-480/sjrgzbjwcgc.mp4_1.mp4
6,9. Sınıf,5,1,BIY,Biyoloji,24,1,Yaşam Bilimi Biyoloji,3461,2,9.1.2.1.,9.1.2.1.- Canlıların yapısını oluşturan organik ve inorganik bileşikleri açıklar.,o0aoc3mxknb.mp4,CANLILARIN YAPISINDA BULUNAN ORGANİK BİLEŞİKLER-KARBONHİDRATLAR,https://ogmmateryal.eba.gov.tr/ebatv-ogm/upload/uzev-480/o0aoc3mxknb.mp4_1.mp4
6,9. Sınıf,5,1,BIY,Biyoloji,24,1,Yaşam Bilimi Biyoloji,3461,2,9.1.2.1.,9.1.2.1.- Canlıların yapısını oluşturan organik ve inorganik bileşikleri açıklar.,rkw213yinhr.mp4,LİPİTLER,https://ogmmateryal.eba.gov.tr/ebatv-ogm/upload/uzev-480/rkw213yinhr.mp4_1.mp4
6,9. Sınıf,5,1,BIY,Biyoloji,24,1,Yaşam Bilimi Biyoloji,3461,2,9.1.2.1.,9.1.2.1.- Canlıların yapısını oluşturan organik ve inorganik bileşikleri açıklar.,cfibdcu0ucd.mp4,PROTEİNLER,https://ogmmateryal.eba.gov.tr/ebatv-ogm/upload/uzev-480/cfibdcu0ucd.mp4_1.mp4
6,9. Sınıf,5,1,BIY,Biyoloji,24,1,Yaşam Bilimi Biyoloji,3461,2,9.1.2.1.,9.1.2.1.- Canlıların yapısını oluşturan organik ve inorganik bileşikleri açıklar.,4hsdhnwqyze.mp4,ENZİMLER,https://ogmmateryal.eba.gov.tr/ebatv-ogm/upload/uzev-480/4hsdhnwqyze.mp4_1.mp4
6,9. Sınıf,5,1,BIY,Biyoloji,24,1,Yaşam Bilimi Biyoloji,3461,2,9.1.2.1.,9.1.2.1.- Canlıların yapısını oluşturan organik ve inorganik bileşikleri açıklar.,ny0llkjaukv.mp4,ENZİMLERİN ÇALIŞMASINA ETKİ EDEN FAKTÖRLER,https://ogmmateryal.eba.gov.tr/ebatv-ogm/upload/uzev-480/ny0llkjaukv.mp4_1.mp4
6,9. Sınıf,5,1,BIY,Biyoloji,24,1,Yaşam Bilimi Biyoloji,3461,2,9.1.2.1.,9.1.2.1.- Canlıların yapısını oluşturan organik ve inorganik bileşikleri açıklar.,bknaa45wycu.mp4,HORMONLAR VE VİTAMİNLER,https://ogmmateryal.eba.gov.tr/ebatv-ogm/upload/uzev-480/bknaa45wycu.mp4_1.mp4
6,9. Sınıf,5,1,BIY,Biyoloji,24,1,Yaşam Bilimi Biyoloji,3461,2,9.1.2.1.,9.1.2.1.- Canlıların yapısını oluşturan organik ve inorganik bileşikleri açıklar.,1behruzsopq.mp4,NÜKLEİK ASİTLER (DNA),https://ogmmateryal.eba.gov.tr/ebatv-ogm/upload/uzev-480/1behruzsopq.mp4_1.mp4
