flipbookKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176204,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/biyoloji/biyoloji.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/biyoloji/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176211,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/cografya/cografya.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/cografya/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176205,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/felsefe/felsefe.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/felsefe/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176206,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/fizik/fizik.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/fizik/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176207,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/kimya/kimya.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/kimya/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176208,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/matematik/matematik.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/matematik/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176209,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/tarih/tarih.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/tarih/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176210,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/tde/tde.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/tyt/tde/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176199,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/biyoloji/biyoloji.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/biyoloji/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176215,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/cografya/cografya.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/cografya/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176200,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/fizik/fizik.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/fizik/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176201,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/kimya/kimya.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/kimya/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176212,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/matematik/matematik.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/matematik/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176202,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/tarih/tarih.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/tarih/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176203,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/tde/tde.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/konu-pekistirme/ayt/tde/files/mobile/1.jpg
