sinifId,sinifIsmi,dersId,dersNo,dersKodu,dersIsmi,uniteId,uniteNo,uniteIsmi,kazanimId,kazanimNo,kazanimKod,kazanimIsmi,kitapId,kitapIsmi,sayfaNo,interaktifKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
21,9. Sınıf,199,1,BIY,Biyoloji,667,1,Yaşam,5640,1,BİY.9.1.1.,BİY.9.1.1. Biyolojideki dönüm noktalarının insan hayatına katkılarını sorgulayabilme,5983,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=5983&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/5983/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,667,1,Yaşam,5641,2,BİY.9.1.2.,BİY.9.1.2. Bilimsel araştırma süreçlerinde bilimin doğasını yorumlayabilme,5983,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=5983&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/5983/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,667,1,Yaşam,5642,3,BİY.9.1.3.,BİY.9.1.3. Bilimsel araştırmaların bilim etiğine uygunluğu ile ilgili bilgi toplayabilme,5983,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=5983&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/5983/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,667,1,Yaşam,5643,4,BİY.9.1.4.,BİY.9.1.4. Çevresindeki canlıların özelliklerini bilimsel olarak gözlemleyebilme,5983,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=5983&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/5983/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,667,1,Yaşam,5644,5,BİY.9.1.5.,BİY.9.1.5. Canlıları sınıflandırabilme,5983,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=5983&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/5983/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,667,1,Yaşam,5645,6,BİY.9.1.6.,BİY.9.1.6. Üç üst âlem (domain) sisteminde yer alan canlıların özellikleri ile ilgili çıkarım yapabilme,5983,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=5983&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/5983/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,667,1,Yaşam,5646,7,BİY.9.1.7.,BİY.9.1.7. Biyoçeşitliliği oluşturan unsurlarla ilgili bilimsel çıkarım yapabilme,5983,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=5983&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/5983/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,668,2,Organizasyon,5647,1,BİY.9.2.1.,BİY.9.2.1. İnorganik moleküllerin önemi hakkında bilimsel çıkarım yapabilme,6238,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6238&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6238/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,668,2,Organizasyon,5648,2,BİY.9.2.2.,BİY.9.2.2. Organik moleküllerin yapısı ve çeşitleriyle ilgili bilgi toplayabilme,6238,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6238&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6238/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,668,2,Organizasyon,5649,3,BİY.9.2.3.,"BİY.9.2.3. Besinlerin yapısında karbohidrat, yağ ve protein varlığının belirlenmesiyle ilgili deney yapabilme",6238,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6238&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6238/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,668,2,Organizasyon,5650,4,BİY.9.2.4.,BİY.9.2.4. pH ve sıcaklığın enzim aktivitesini etkilediğini gösteren deney yapabilme,6238,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6238&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6238/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,668,2,Organizasyon,5651,5,BİY.9.2.5.,BİY.9.2.5. Hücre alt birimlerini ve bu birimlerin işlevleri arasındaki ilişkileri çözümleyebilme,6238,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6238&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6238/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,668,2,Organizasyon,5652,6,BİY.9.2.6.,BİY.9.2.6. Hücre zarından madde geçişlerini sınıflandırabilme,6238,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6238&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6238/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,668,2,Organizasyon,5653,7,BİY.9.2.7.,BİY.9.2.7. Küçük moleküllerin hücre zarından pasif geçişi ile ilgili deney yapabilme,6238,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6238&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6238/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,199,1,BIY,Biyoloji,668,2,Organizasyon,5654,8,BİY.9.2.8.,"BİY.9.2.8. Hücreden doku, organ ve sistemlerin organizasyonuyla ilgili tümevarımsal akıl yürütebilme",6238,Biyoloji,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6238&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/cnufbqlf0mn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6238/,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/l1eioi1ira4.png
21,9. Sınıf,200,2,COG,Coğrafya,669,1,Coğrafyanın Doğası,5655,1,COĞ.9.1.1.,COĞ.9.1.1. Coğrafya biliminin konusu ve bölümlerini çözümleyebilme,6017,Coğrafya,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6017&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/25yux5epwys.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6017/cografyanin-dogasi.zip,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/gmddj4xluqf.png
21,9. Sınıf,200,2,COG,Coğrafya,669,1,Coğrafyanın Doğası,5656,2,COĞ.9.1.2.,"COĞ.9.1.2. Örnek olay, olgu veya konu üzerinden mekânsal düşünme ile coğrafya öğrenmenin önemini çözümleyebilme",6017,Coğrafya,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6017&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/25yux5epwys.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6017/cografyanin-dogasi.zip,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/gmddj4xluqf.png
21,9. Sınıf,200,2,COG,Coğrafya,669,1,Coğrafyanın Doğası,5657,3,COĞ.9.1.3.,COĞ.9.1.3. Coğrafya biliminin gelişimi hakkında bilgi toplayabilme,6017,Coğrafya,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6017&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/25yux5epwys.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6017/cografyanin-dogasi.zip,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/gmddj4xluqf.png
21,9. Sınıf,200,2,COG,Coğrafya,670,2,Mekânsal Bilgi Teknolojileri,5658,1,COĞ.9.2.1.,COĞ.9.2.1. Harita uygulamaları yapabilme,6022,Coğrafya,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6022&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/25yux5epwys.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6022/mekansal-bilgi-teknolojileri.zip,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/gmddj4xluqf.png
21,9. Sınıf,200,2,COG,Coğrafya,670,2,Mekânsal Bilgi Teknolojileri,5659,2,COĞ.9.2.2.,COĞ.9.2.2. Türkiye'nin konum özelliklerini algılayabilme,6022,Coğrafya,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6022&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/25yux5epwys.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6022/mekansal-bilgi-teknolojileri.zip,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/gmddj4xluqf.png
21,9. Sınıf,200,2,COG,Coğrafya,670,2,Mekânsal Bilgi Teknolojileri,5660,3,COĞ.9.2.3.,COĞ.9.2.3. Mekânsal bilgi teknolojilerini oluşturan bileşenleri çözümleyebilme,6022,Coğrafya,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6022&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/25yux5epwys.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6022/mekansal-bilgi-teknolojileri.zip,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/gmddj4xluqf.png
21,9. Sınıf,200,2,COG,Coğrafya,671,3,Doğal Sistemler ve Süreçler,5661,1,COĞ.9.3.1.,COĞ.9.3.1. Hava olaylarının günlük hayata etkisini gözleme dayalı tahmin edebilme,6053,Coğrafya,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6053&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/25yux5epwys.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6053/dogal-sistemler-ve-surecler.zip,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/gmddj4xluqf.png
21,9. Sınıf,200,2,COG,Coğrafya,671,3,Doğal Sistemler ve Süreçler,5662,2,COĞ.9.3.2.,COĞ.9.3.2. İklim sisteminin bileşen ve değişkenlerini çözümleyebilme,6053,Coğrafya,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6053&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/25yux5epwys.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6053/dogal-sistemler-ve-surecler.zip,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/gmddj4xluqf.png
21,9. Sınıf,200,2,COG,Coğrafya,671,3,Doğal Sistemler ve Süreçler,5663,3,COĞ.9.3.3.,"COĞ.9.3.3. Türkiye ve dünyadaki farklı iklim türlerine sahip yerlerin iklim verilerini kullanarak tablo, grafik, şekil ve/veya diyagram hazırlayabilme",6053,Coğrafya,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6053&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/25yux5epwys.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6053/dogal-sistemler-ve-surecler.zip,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/gmddj4xluqf.png
21,9. Sınıf,200,2,COG,Coğrafya,671,3,Doğal Sistemler ve Süreçler,5664,4,COĞ.9.3.4.,COĞ.9.3.4. İklim sistemi ve sürecinde meydana gelen değişiklikleri algılayabilme,6053,Coğrafya,0,https://ogmmateryal.eba.gov.tr/panel/panel/EKitapUniteOnizle.aspx?Id=6053&sayfa=0,https://ogmmateryal.eba.gov.tr/panel/upload/pdf/25yux5epwys.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etki/6053/dogal-sistemler-ve-surecler.zip,https://ogmmateryal.eba.gov.tr/panel/upload/kapak/gmddj4xluqf.png
