sinifPath,sinifIsmi,dersPath,dersIsmi,flipbookKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
,,tiyatro,Tiyatro,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/tiyatro/tiyatro-tarihi-9/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/tiyatro/tiyatro-tarihi-9/tiyatro-tarihi-9.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/tiyatro/tiyatro-tarihi-9/tiyatro-tarihi-9.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/tiyatro/tiyatro-tarihi-9/files/mobile/2.jpg
gorsel-sanatlar-9,9. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-9/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-9/desen-9.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-9/desen-9.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-9/files/mobile/2.jpg
gorsel-sanatlar-9,9. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/fotograf-9-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/fotograf-9-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/files/mobile/2.jpg
gorsel-sanatlar-9,9. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-tarihi-9/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-tarihi-9/sanat-tarihi-9.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-tarihi-9/sanat-tarihi-9.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-tarihi-9/files/mobile/2.jpg
gorsel-sanatlar-9,9. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/muze-egitimi-9-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/muze-egitimi-9-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/files/mobile/2.jpg
gorsel-sanatlar-9,9. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/temel-desen-9/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/temel-desen-9/temel-desen-9.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/temel-desen-9/temel-desen-9.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/temel-desen-9/files/mobile/2.jpg
gorsel-sanatlar-9,9. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/temel-sanat-egitimi-9/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/temel-sanat-egitimi-9/temel-sanat-egitimi-9.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/temel-sanat-egitimi-9/temel-sanat-egitimi-9.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/temel-sanat-egitimi-9/files/mobile/2.jpg
gorsel-sanatlar-10,10. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-10/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-10/desen-10.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-10/desen-10.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-10/files/mobile/2.jpg
gorsel-sanatlar-10,10. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/fotograf-9-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/fotograf-9-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/files/mobile/2.jpg
gorsel-sanatlar-10,10. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-tarihi-10/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-tarihi-10/sanat-tarihi-10.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-tarihi-10/sanat-tarihi-10.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-tarihi-10/files/mobile/2.jpg
gorsel-sanatlar-10,10. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/muze-egitimi-9-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/muze-egitimi-9-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/files/mobile/2.jpg
gorsel-sanatlar-11,11. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-11/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-11/desen-11.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-11/desen-11.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-11/files/mobile/2.jpg
gorsel-sanatlar-11,11. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/estetik-11/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/estetik-11/estetik-11.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/estetik-11/estetik-11.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/estetik-11/files/mobile/2.jpg
gorsel-sanatlar-11,11. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/fotograf-9-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/fotograf-9-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/files/mobile/2.jpg
gorsel-sanatlar-11,11. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/minyatur-11/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/minyatur-11/minyatur-11.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/minyatur-11/minyatur-11.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/minyatur-11/files/mobile/2.jpg
gorsel-sanatlar-11,11. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/grafik-tasarim-11/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/grafik-tasarim-11/grafik-tasarim-11.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/grafik-tasarim-11/grafik-tasarim-11.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/grafik-tasarim-11/files/mobile/2.jpg
gorsel-sanatlar-11,11. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/imgesel-resim-11/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/imgesel-resim-11/imgesel-resim-11.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/imgesel-resim-11/imgesel-resim-11.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/imgesel-resim-11/files/mobile/2.jpg
