sinifId,sinifIsmi,dersId,dersNo,dersKodu,dersIsmi,interaktifKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
7,10. Sınıf,6,1,BIY,Biyoloji,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/biyoloji/tek/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/biyoloji/tek/biyoloji.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/biyoloji/tek/biyoloji.zip,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/biyoloji/tek/files/thumb/1.jpg
7,10. Sınıf,10,2,COG,Coğrafya,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/cografya/tek/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/cografya/tek/cografya.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/cografya/tek/cografya.zip,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/cografya/tek/files/thumb/1.jpg
7,10. Sınıf,14,3,FEL,Felsefe,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/felsefe/tek/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/felsefe/tek/felsefe.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/felsefe/tek/felsefe.zip,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/felsefe/tek/files/thumb/2.jpg
7,10. Sınıf,33,8,FIZ,Fizik,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/fizik/tek/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/fizik/tek/fizik.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/fizik/tek/fizik.zip,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/fizik/tek/files/thumb/1.jpg
7,10. Sınıf,45,10,KIM,Kimya,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/kimya/tek/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/kimya/tek/kimya.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/kimya/tek/kimya.zip,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/kimya/tek/files/thumb/1.jpg
7,10. Sınıf,49,11,MAT,Matematik,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/matematik/tek/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/matematik/tek/matematik.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/matematik/tek/matematik.zip,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/matematik/tek/files/thumb/1.jpg
7,10. Sınıf,56,12,TAR,Tarih,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/tarih/tek/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/tarih/tek/tarih.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/tarih/tek/tarih.zip,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/tarih/tek/files/thumb/1.jpg
7,10. Sınıf,59,13,TDE,Türk Dili ve Edebiyatı,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/edebiyat/tek/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/edebiyat/tek/edebiyat.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/edebiyat/tek/edebiyat.zip,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/10/edebiyat/tek/files/thumb/1.jpg
8,11. Sınıf,7,1,BIY,Biyoloji,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/11/biyoloji/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/11/biyoloji/biyoloji.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/11/biyoloji/biyoloji.zip,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/11/biyoloji/files/thumb/1.jpg
8,11. Sınıf,11,2,COG,Coğrafya,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/11/cografya/index.html,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/11/cografya/cografya.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/11/cografya/cografya.zip,http://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/kavram_calismalari/11/cografya/files/thumb/1.jpg
