sinifId,sinifIsmi,dersId,dersNo,dersKodu,dersIsmi,uniteId,uniteNo,uniteIsmi,kazanimId,kazanimNo,kazanimKod,kazanimIsmi,pdfId,pdfBaslik,pdfLink
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3471,1,10.1.1.1.,10.1.1.1.- Canlılarda hücre bölünmesinin gerekliliğini açıklar.,hjqfidopnho.pdf,HÜCRE BÖLÜNMESİNİN GEREKLİLİĞİ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/hjqfidopnho.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3471,1,10.1.1.1.,10.1.1.1.- Canlılarda hücre bölünmesinin gerekliliğini açıklar.,c4ftzrmsbvo.pdf,HÜCRELER NEDEN BÖLÜNÜR?,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/c4ftzrmsbvo.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3471,1,10.1.1.1.,10.1.1.1.- Canlılarda hücre bölünmesinin gerekliliğini açıklar.,oyfdfgmkshu.pdf,BÖLÜNMENİN ŞARTLARI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/oyfdfgmkshu.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,c0wtqdwitlz.pdf,HÜCRE BÖLÜNMESİNİN HIZI HESAPLANABİLİR,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/c0wtqdwitlz.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,oqr5uq4icyy.pdf,KARYOTİP,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/oqr5uq4icyy.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,btzxhllqir0.pdf,MİKROSKOP ALTINDA HÜCRENİN YAŞAM DÖNGÜSÜ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/btzxhllqir0.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,ckeutjyeq1s.pdf,HÜCRENİN DOĞUŞU,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/ckeutjyeq1s.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,1lk2z5fnp5r.pdf,MİTOZUN AŞAMALARI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/1lk2z5fnp5r.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,esdevmpdcrk.pdf,AVANTAJ MI? DEZAVANTAJ MI?,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/esdevmpdcrk.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,2chlzmpbbfa.pdf,ZENCEFİL,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/2chlzmpbbfa.pdf
