sinifId,sinifIsmi,dersId,dersNo,dersKodu,dersIsmi,uniteId,uniteNo,uniteIsmi,kazanimId,kazanimNo,kazanimKod,kazanimIsmi,pdfId,pdfBaslik,pdfLink
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,qfwmqvizyui.pdf,KALITIM VE BİYOLOJİK ÇEŞİTLİLİK,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/qfwmqvizyui.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3477,2,10.2.1.2.,10.2.1.2.- Genetik varyasyonların biyolojik çeşitliliği açıklamadaki rolünü sorgular.,qfwmqvizyui.pdf,KALITIM VE BİYOLOJİK ÇEŞİTLİLİK,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/qfwmqvizyui.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,29,3,Ekosistem Ekolojisi ve Güncel Çevre Sorunları,3478,1,10.3.1.1.,10.3.1.1.- Ekosistemin canlı ve cansız bileşenleri arasındaki ilişkiyi açıklar.,vknss2zvsv5.pdf,EKOSİSTEM EKOLOJİSİ - 1,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/vknss2zvsv5.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,29,3,Ekosistem Ekolojisi ve Güncel Çevre Sorunları,3479,2,10.3.1.2.,10.3.1.2.- Canlılardaki beslenme şekillerini örneklerle açıklar.,c0dwpgi3gh4.pdf,EKOSİSTEM EKOLOJİSİ - 2,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/c0dwpgi3gh4.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,29,3,Ekosistem Ekolojisi ve Güncel Çevre Sorunları,3480,3,10.3.1.3.,10.3.1.3.- Ekosistemde madde ve enerji akışını analiz eder.,fygxsvjpkcp.pdf,EKOSİSTEM EKOLOJİSİ - 3,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/fygxsvjpkcp.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,29,3,Ekosistem Ekolojisi ve Güncel Çevre Sorunları,3486,9,10.3.3.2.,10.3.3.2.- Biyolojik çeşitliliğin yaşam için önemini sorgular.,ryu1ljxlg2c.pdf,DOĞAL KAYNAKLAR VE BİYOLOJİK ÇEŞİTLİLİĞİN KORUNMASI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/ryu1ljxlg2c.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,29,3,Ekosistem Ekolojisi ve Güncel Çevre Sorunları,3487,10,10.3.3.3.,10.3.3.3.- Biyolojik çeşitliliğin korunmasına yönelik çözüm önerilerinde bulunur.,ryu1ljxlg2c.pdf,DOĞAL KAYNAKLAR VE BİYOLOJİK ÇEŞİTLİLİĞİN KORUNMASI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/ryu1ljxlg2c.pdf
7,10. Sınıf,10,2,COG,Coğrafya,40,1,Doğal Sistemler,37,13,10.1.13.,10.1.13.- Türkiye'deki toprakların dağılışını etkileyen faktörler ile toprak tiplerini ilişkilendirir.,wjpwssqqya2.pdf,TÜRKİYE'DEKİ TOPRAK TİPLERİ VE DAĞILIŞI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/wjpwssqqya2.pdf
7,10. Sınıf,10,2,COG,Coğrafya,40,1,Doğal Sistemler,39,15,10.1.15.,10.1.15.- Bitki toplulukları ve türlerini genel özelliklerine göre sınıflandırır.,fol3dvflypk.pdf,BİTKİ TOPLULUKLARI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/fol3dvflypk.pdf
7,10. Sınıf,10,2,COG,Coğrafya,40,1,Doğal Sistemler,40,16,10.1.16.,10.1.16.- Bitki topluluklarının dağılışı ile iklim ve yer şekillerini ilişkilendirir.,fol3dvflypk.pdf,BİTKİ TOPLULUKLARI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/fol3dvflypk.pdf
7,10. Sınıf,10,2,COG,Coğrafya,40,1,Doğal Sistemler,41,17,10.1.17.,10.1.17.- Türkiye'deki doğal bitki topluluklarının dağılışını yetişme şartları açısından analiz eder.,mn40sbkigov.pdf,TÜRKİYE'DEKİ BİTKİ TOPLULUKLARI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/mn40sbkigov.pdf
7,10. Sınıf,10,2,COG,Coğrafya,41,2,Beşeri Sistemler,42,1,10.2.1.,10.2.1.- İstatistiki verilerden yararlanarak nüfus özellikleri ve nüfusun önemi hakkında çıkarımlarda bulunur.,bmoe0xmsimm.pdf,NÜFUSUN ÖZELLİKLERİ VE ÖNEMİ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/bmoe0xmsimm.pdf
7,10. Sınıf,10,2,COG,Coğrafya,41,2,Beşeri Sistemler,44,3,10.2.3.,10.2.3.- Nüfusun dağılışı üzerinde etkili olan faktörler ile dünya nüfusunun dağılışını ilişkilendirir.,u0qs10oi4v4.pdf,NÜFUSUN DAĞILIŞI VE ARİTMETİK NÜFUS YOĞUNLUĞU,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/u0qs10oi4v4.pdf
7,10. Sınıf,10,2,COG,Coğrafya,41,2,Beşeri Sistemler,45,4,10.2.4.,10.2.4.- Nüfus piramitlerinden hareketle nüfusun yapısıyla ilgili çıkarımlarda bulunur.,x5qiwls4zio.pdf,NÜFUS PİRAMİTLERİ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/x5qiwls4zio.pdf
7,10. Sınıf,10,2,COG,Coğrafya,41,2,Beşeri Sistemler,48,6,10.2.6.,"10.2.6.- Türkiye'de nüfusun dağılışını, nüfusun dağılışında etkili olan faktörler açısından değerlendirir.",gsjxdu3sbue.pdf,TÜRKİYE'DEKİ NÜFUSUN DAĞILIŞINDA ETKİLİ OLAN FAKTÖRLER,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/gsjxdu3sbue.pdf
