flipbookKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176274,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-biyoloji/tyt-biyoloji.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-biyoloji/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176273,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-cografya/tyt-cografya.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-cografya/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176275,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-ayt-felsefe/tyt-ayt-felsefe.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-ayt-felsefe/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176272,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-fizik/tyt-fizik.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-fizik/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176271,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-kimya/tyt-kimya.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-kimya/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176270,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-matematik/tyt-matematik.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-matematik/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176269,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-tarih/tyt-tarih.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-tarih/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176268,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-turkce/tyt-turkce.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/tyt-turkce/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176283,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-biyoloji/ayt-biyoloji.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-biyoloji/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176282,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-cografya/ayt-cografya.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-cografya/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176281,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-fizik/ayt-fizik.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-fizik/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176280,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-kimya/ayt-kimya.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-kimya/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176285,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-mantik/ayt-mantik.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-mantik/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176279,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-matematik/ayt-matematik.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-matematik/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176284,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-psikoloji/ayt-psikoloji.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-psikoloji/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176278,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-sosyoloji/ayt-sosyoloji.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-sosyoloji/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176277,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-tarih/ayt-tarih.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-tarih/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176276,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-tde/ayt-tde.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ayt-tde/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-ozet-indir?id=176267,,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ydt-ingilizce/ydt-ingilizce.zip,https://ogmmateryal.eba.gov.tr/kitap/mebi-konu-ozetleri/ydt-ingilizce/files/mobile/1.jpg
