sinifPath,sinifIsmi,dersPath,dersIsmi,flipbookKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
,,turkce,Türkçe,/icerik-indir/176257,,,https://ogmmateryal.eba.gov.tr/kitap/oyun-etkinlik/turkce/files/mobile/1.jpg
ingilizce,9. Sınıf (2017-23 Müfredatı),game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit1/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit1/9.1.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit1/unit1.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit1/files/thumb/1.jpg
ingilizce,9. Sınıf (2017-23 Müfredatı),game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit2/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit2/9.2.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit2/unit2.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit2/files/thumb/1.jpg
ingilizce,9. Sınıf (2017-23 Müfredatı),game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit3/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit3/9.3.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit3/unit3.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit3/files/thumb/1.jpg
ingilizce,9. Sınıf (2017-23 Müfredatı),game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit4/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit4/9.4.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit4/unit4.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit4/files/thumb/1.jpg
ingilizce,9. Sınıf (2017-23 Müfredatı),game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit5/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit5/9.5.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit5/unit5.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit5/files/thumb/1.jpg
ingilizce,9. Sınıf (2017-23 Müfredatı),game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit6/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit6/9.6.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit6/unit6.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit6/files/thumb/1.jpg
ingilizce,9. Sınıf (2017-23 Müfredatı),game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit7/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit7/9.7.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit7/unit7.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit7/files/thumb/1.jpg
ingilizce,9. Sınıf (2017-23 Müfredatı),game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit8/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit8/9.8.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit8/unit8.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit8/files/thumb/1.jpg
ingilizce,9. Sınıf (2017-23 Müfredatı),game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit9/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit9/9.9.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit9/unit9.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/9/unit9/files/thumb/1.jpg
