baslik,pdfId,pdfLink,videoId,playlistId,time,videoLink
Biyoloji,sivpsai22pl.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/sivpsai22pl.pdf,l59LbOB0Xp4,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,111,https://youtu.be/l59LbOB0Xp4?list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r&t=111
Biyoloji,3xiosh01x4a.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/3xiosh01x4a.pdf,1An-yyV_bk4,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,115,https://youtu.be/1An-yyV_bk4?list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r&t=115
Biyoloji,fvxh1wzuyrv.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/fvxh1wzuyrv.pdf,dF37eM6jwro,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,111,https://youtu.be/dF37eM6jwro?list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r&t=111
Biyoloji,p235yu1z0ao.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/p235yu1z0ao.pdf,ojY2o5IsL-4,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,,https://youtu.be/ojY2o5IsL-4?list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r
Biyoloji,vnhmkoce4kh.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/vnhmkoce4kh.pdf,gjTTZu28Rns,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,,https://youtu.be/gjTTZu28Rns?list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r
Biyoloji,hr15prt1hna.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/hr15prt1hna.pdf,qWb1oCr7FHw,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,,https://youtu.be/qWb1oCr7FHw?list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r
Biyoloji,a2cvnve4v2x.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/a2cvnve4v2x.pdf,OpQsbw608fU,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,18,https://youtu.be/OpQsbw608fU?list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r&t=18
Biyoloji,qutc1py04kh.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/qutc1py04kh.pdf,U_yLbu3HPpo,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,,https://youtu.be/U_yLbu3HPpo?list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r
Biyoloji,dj5besblv4n.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/dj5besblv4n.pdf,g8gDa8qdBRo,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,,https://youtu.be/g8gDa8qdBRo?list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r
Biyoloji,wgev1hxqe32.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/wgev1hxqe32.pdf,eHgy8vbkD_Q,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,,https://youtu.be/eHgy8vbkD_Q?list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r
Biyoloji,iogvvd1d5up.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/iogvvd1d5up.pdf,O-DjwZxG0kw,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,,https://youtu.be/O-DjwZxG0kw?list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r
Biyoloji,et1wcyubq2m.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/et1wcyubq2m.pdf,j08LVfRShFw,PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r,,https://www.youtube.com/watch?v=j08LVfRShFw&list=PLUYa52_9xFS_c36GxZL1CsUhc3tH2eN5r&index=12
