dersKodu,dersIsmi,sinavTipi,konu,pdfId,pdfLink,videoId,playlistId,time,videoLink
BIY,BİYOLOJİ,TYT,HÜCRE ZARINDAN MADDE GEÇİŞLERİ,xm0rleinimn.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/xm0rleinimn.pdf,JsCNYpWIk5s,,,https://www.youtube.com/embed/JsCNYpWIk5s
BIY,BİYOLOJİ,TYT,MONOHİBRİT– DİHİBRİT ÇAPRAZLAMA VE ÇOK ALLELLİK,vvigwvglk2k.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/vvigwvglk2k.pdf,ktqBzaTHuKo,,,https://www.youtube.com/embed/ktqBzaTHuKo
BIY,BİYOLOJİ,AYT,DNA REPLİKASYON MEKANİZMASI,sk0lrkmmf1r.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/sk0lrkmmf1r.pdf,1D0UN_cIHfE,,,https://www.youtube.com/embed/1D0UN_cIHfE
BIY,BİYOLOJİ,AYT,PROTEİN SENTEZİ MEKANİZMASI,3fzmvenroul.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/3fzmvenroul.pdf,RwbhieZ73us,,,https://www.youtube.com/embed/RwbhieZ73us
BIY,BİYOLOJİ,AYT,FOTOSENTEZ,onnp4u4mknh.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/onnp4u4mknh.pdf,KzPfwbFji-k,,,https://www.youtube.com/embed/KzPfwbFji-k
BIY,BİYOLOJİ,AYT,HÜCRESEL SOLUNUM,fuqxrddcrhc.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/fuqxrddcrhc.pdf,tHfn8A4iEyk,,,https://www.youtube.com/embed/tHfn8A4iEyk
BIY,BİYOLOJİ,AYT,BİTKİLERDE MADDE TAŞINMASI,xjv3ccahn55.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/xjv3ccahn55.pdf,48s51xoAW2I,,,https://www.youtube.com/embed/48s51xoAW2I
BIY,BİYOLOJİ,AYT,BİTKİLERDE ÜREME,fy1opftst33.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/fy1opftst33.pdf,kj-N9O10PgA,,,https://www.youtube.com/embed/kj-N9O10PgA
COG,COĞRAFYA,TYT,DÜNYA'NIN ŞEKLİ VE HAREKETLERİ,qdchzmigesj.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/qdchzmigesj.pdf,zmBRmm9e0Yg,,,https://www.youtube.com/embed/zmBRmm9e0Yg
COG,COĞRAFYA,TYT,COĞRAFİ KONUM-HARİTA BİLGİSİ VE İZOHİPSLER,vkauaub4yoc.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/vkauaub4yoc.pdf,rII_VMBDgTA,,,https://www.youtube.com/embed/rII_VMBDgTA
COG,COĞRAFYA,TYT,YER ŞEKİLLERİNİN OLUŞUMUNDA İÇ VE DIŞ KUVVETLER,2bgmrapkodj.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/2bgmrapkodj.pdf,VK4L6Aa6O2I,,,https://www.youtube.com/embed/VK4L6Aa6O2I
